chrom	start	end	value	strand	chrom	start	end	value	strand	midpoint	c-w reads sum	c-w distance (bp)
chr7	1084164	1084174	112.0	+	chr7	1084175	1084185	89.0	-	1084174	201.0	11
chr7	500004	500014	110.0	+	chr7	500076	500086	5.0	-	500045	115.0	72
chr7	41327	41337	107.0	+	chr7	41353	41363	933.0	-	41345	1040.0	26
chr7	596362	596372	107.0	+	chr7	596388	596398	380.0	-	596380	487.0	26
chr7	866239	866249	99.0	+	chr7	866264	866274	46.0	-	866256	145.0	25
chr7	1022497	1022507	98.0	+	chr7	1022535	1022545	28.0	-	1022521	126.0	38
chr7	905645	905655	96.0	+	chr7	905675	905685	137.0	-	905665	233.0	30
chr7	79073	79083	95.0	+	chr7	79094	79104	91.0	-	79088	186.0	21
chr7	1063295	1063305	95.0	+	chr7	1063313	1063323	18.0	-	1063309	113.0	18
chr7	53722	53732	87.0	+	chr7	53739	53749	52.0	-	53735	139.0	17
chr7	601467	601477	86.0	+	chr7	601495	601505	91.0	-	601486	177.0	28
chr7	417333	417343	85.0	+	chr7	417365	417375	514.0	-	417354	599.0	32
chr7	866229	866239	80.0	+	chr7	866242	866252	76.0	-	866240	156.0	13
chr7	36787	36797	78.0	+	chr7	36802	36812	31.0	-	36799	109.0	15
chr7	271400	271410	77.0	+	chr7	271416	271426	40.0	-	271413	117.0	16
chr7	144228	144238	75.0	+	chr7	144253	144263	20.0	-	144245	95.0	25
chr7	1084318	1084328	72.0	+	chr7	1084350	1084360	15.0	-	1084339	87.0	32
chr7	513024	513034	67.0	+	chr7	513047	513057	170.0	-	513040	237.0	23
chr7	1084149	1084159	66.0	+	chr7	1084158	1084168	54.0	-	1084158	120.0	9
chr7	200331	200341	65.0	+	chr7	200374	200384	8.0	-	200357	73.0	43
chr7	494363	494373	64.0	+	chr7	494388	494398	19.0	-	494380	83.0	25
chr7	428429	428439	63.0	+	chr7	428450	428460	29.0	-	428444	92.0	21
chr7	511180	511190	63.0	+	chr7	511232	511242	4.0	-	511211	67.0	52
chr7	345808	345818	62.0	+	chr7	345817	345827	50.0	-	345817	112.0	9
chr7	245289	245299	61.0	+	chr7	245323	245333	15.0	-	245311	76.0	34
chr7	591681	591691	60.0	+	chr7	591697	591707	6.0	-	591694	66.0	16
chr7	641872	641882	57.0	+	chr7	641895	641905	223.0	-	641888	280.0	23
chr7	1084218	1084228	56.0	+	chr7	1084226	1084236	99.0	-	1084227	155.0	8
chr7	1026203	1026213	52.0	+	chr7	1026233	1026243	73.0	-	1026223	125.0	30
chr7	892337	892347	49.0	+	chr7	892360	892370	30.0	-	892353	79.0	23
chr7	965835	965845	49.0	+	chr7	965855	965865	14.0	-	965850	63.0	20
chr7	609917	609927	48.0	+	chr7	609998	610008	2.0	-	609962	50.0	81
chr7	767328	767338	48.0	+	chr7	767353	767363	44.0	-	767345	92.0	25
chr7	210235	210245	46.0	+	chr7	210256	210266	4.0	-	210250	50.0	21
chr7	371347	371357	46.0	+	chr7	371374	371384	24.0	-	371365	70.0	27
chr7	513036	513046	46.0	+	chr7	513070	513080	38.0	-	513058	84.0	34
chr7	718718	718728	45.0	+	chr7	718728	718738	23.0	-	718728	68.0	10
chr7	499981	499991	42.0	+	chr7	499999	500009	23.0	-	499995	65.0	18
chr7	897340	897350	42.0	+	chr7	897362	897372	108.0	-	897356	150.0	22
chr7	1070102	1070112	40.0	+	chr7	1070126	1070136	36.0	-	1070119	76.0	24
chr7	1084058	1084068	40.0	+	chr7	1084076	1084086	8.0	-	1084072	48.0	18
chr7	316625	316635	38.0	+	chr7	316646	316656	36.0	-	316640	74.0	21
chr7	750833	750843	38.0	+	chr7	750847	750857	3.0	-	750845	41.0	14
chr7	76668	76678	37.0	+	chr7	76689	76699	113.0	-	76683	150.0	21
chr7	855078	855088	35.0	+	chr7	855083	855093	8.0	-	855085	43.0	5
chr7	974660	974670	35.0	+	chr7	974688	974698	4.0	-	974679	39.0	28
chr7	36807	36817	34.0	+	chr7	36826	36836	91.0	-	36821	125.0	19
chr7	417356	417366	33.0	+	chr7	417384	417394	24.0	-	417375	57.0	28
chr7	6	16	32.0	+	chr7	35	45	15.0	-	25	47.0	29
chr7	756833	756843	31.0	+	chr7	756847	756857	46.0	-	756845	77.0	14
chr7	781692	781702	31.0	+	chr7	781772	781782	8.0	-	781737	39.0	80
chr7	976973	976983	31.0	+	chr7	976994	977004	12.0	-	976988	43.0	21
chr7	977102	977112	31.0	+	chr7	977202	977212	9.0	-	977157	40.0	100
chr7	53775	53785	30.0	+	chr7	53870	53880	13.0	-	53827	43.0	95
chr7	249708	249718	30.0	+	chr7	249732	249742	15.0	-	249725	45.0	24
chr7	800223	800233	30.0	+	chr7	800242	800252	11.0	-	800237	41.0	19
chr7	374906	374916	29.0	+	chr7	374936	374946	7.0	-	374926	36.0	30
chr7	397947	397957	29.0	+	chr7	397960	397970	22.0	-	397958	51.0	13
chr7	547385	547395	29.0	+	chr7	547398	547408	7.0	-	547396	36.0	13
chr7	857817	857827	29.0	+	chr7	857844	857854	24.0	-	857835	53.0	27
chr7	977049	977059	29.0	+	chr7	977074	977084	7.0	-	977066	36.0	25
chr7	49324	49334	28.0	+	chr7	49344	49354	15.0	-	49339	43.0	20
chr7	377281	377291	28.0	+	chr7	377295	377305	21.0	-	377293	49.0	14
chr7	560384	560394	28.0	+	chr7	560419	560429	133.0	-	560406	161.0	35
chr7	512832	512842	27.0	+	chr7	512842	512852	9.0	-	512842	36.0	10
chr7	681268	681278	27.0	+	chr7	681281	681291	26.0	-	681279	53.0	13
chr7	843738	843748	27.0	+	chr7	843756	843766	14.0	-	843752	41.0	18
chr7	157775	157785	26.0	+	chr7	157800	157810	7.0	-	157792	33.0	25
chr7	513091	513101	26.0	+	chr7	513145	513155	7.0	-	513123	33.0	54
chr7	843696	843706	26.0	+	chr7	843724	843734	735.0	-	843715	761.0	28
chr7	35262	35272	25.0	+	chr7	35277	35287	16.0	-	35274	41.0	15
chr7	977011	977021	25.0	+	chr7	977025	977035	10.0	-	977023	35.0	14
chr7	1022515	1022525	24.0	+	chr7	1022587	1022597	4.0	-	1022556	28.0	72
chr7	144420	144430	23.0	+	chr7	144478	144488	7.0	-	144454	30.0	58
chr7	144569	144579	23.0	+	chr7	144585	144595	7.0	-	144582	30.0	16
chr7	584711	584721	23.0	+	chr7	584724	584734	9.0	-	584722	32.0	13
chr7	601499	601509	23.0	+	chr7	601508	601518	110.0	-	601508	133.0	9
chr7	756810	756820	23.0	+	chr7	756831	756841	17.0	-	756825	40.0	21
chr7	757479	757489	23.0	+	chr7	757514	757524	45.0	-	757501	68.0	35
chr7	761198	761208	23.0	+	chr7	761210	761220	55.0	-	761209	78.0	12
chr7	1031661	1031671	23.0	+	chr7	1031690	1031700	10.0	-	1031680	33.0	29
chr7	63	73	22.0	+	chr7	92	102	110.0	-	82	132.0	29
chr7	129345	129355	22.0	+	chr7	129362	129372	20.0	-	129358	42.0	17
chr7	284168	284178	22.0	+	chr7	284186	284196	3.0	-	284182	25.0	18
chr7	345902	345912	22.0	+	chr7	345917	345927	3.0	-	345914	25.0	15
chr7	345997	346007	22.0	+	chr7	346018	346028	4.0	-	346012	26.0	21
chr7	27636	27646	21.0	+	chr7	27665	27675	12.0	-	27655	33.0	29
chr7	41465	41475	21.0	+	chr7	41535	41545	2.0	-	41505	23.0	70
chr7	49456	49466	21.0	+	chr7	49476	49486	4.0	-	49471	25.0	20
chr7	35285	35295	20.0	+	chr7	35311	35321	11.0	-	35303	31.0	26
chr7	98743	98753	20.0	+	chr7	98771	98781	10.0	-	98762	30.0	28
chr7	962249	962259	20.0	+	chr7	962264	962274	13.0	-	962261	33.0	15
chr7	560369	560379	19.0	+	chr7	560375	560385	25.0	-	560377	44.0	6
chr7	720216	720226	19.0	+	chr7	720239	720249	114.0	-	720232	133.0	23
chr7	761298	761308	19.0	+	chr7	761304	761314	15.0	-	761306	34.0	6
chr7	854907	854917	19.0	+	chr7	854953	854963	32.0	-	854935	51.0	46
chr7	330743	330753	18.0	+	chr7	330768	330778	48.0	-	330760	66.0	25
chr7	41539	41549	17.0	+	chr7	41557	41567	3.0	-	41553	20.0	18
chr7	115758	115768	17.0	+	chr7	115784	115794	154.0	-	115776	171.0	26
chr7	123407	123417	17.0	+	chr7	123425	123435	7.0	-	123421	24.0	18
chr7	377345	377355	17.0	+	chr7	377355	377365	14.0	-	377355	31.0	10
chr7	609435	609445	17.0	+	chr7	609455	609465	2.0	-	609450	19.0	20
chr7	648155	648165	17.0	+	chr7	648165	648175	15.0	-	648165	32.0	10
chr7	761225	761235	17.0	+	chr7	761237	761247	443.0	-	761236	460.0	12
chr7	976617	976627	17.0	+	chr7	976646	976656	6.0	-	976636	23.0	29
chr7	217435	217445	16.0	+	chr7	217483	217493	3.0	-	217464	19.0	48
chr7	609817	609827	16.0	+	chr7	609847	609857	7.0	-	609837	23.0	30
chr7	731831	731841	16.0	+	chr7	731851	731861	61.0	-	731846	77.0	20
chr7	853539	853549	16.0	+	chr7	853573	853583	18.0	-	853561	34.0	34
chr7	906242	906252	16.0	+	chr7	906243	906253	2.0	-	906247	18.0	1
chr7	1026016	1026026	16.0	+	chr7	1026043	1026053	2.0	-	1026034	18.0	27
chr7	1083996	1084006	16.0	+	chr7	1084037	1084047	4.0	-	1084021	20.0	41
chr7	195875	195885	15.0	+	chr7	195934	195944	2.0	-	195909	17.0	59
chr7	272800	272810	15.0	+	chr7	272832	272842	6.0	-	272821	21.0	32
chr7	316687	316697	15.0	+	chr7	316719	316729	2.0	-	316708	17.0	32
chr7	482588	482598	15.0	+	chr7	482624	482634	2.0	-	482611	17.0	36
chr7	609243	609253	15.0	+	chr7	609268	609278	64.0	-	609260	79.0	25
chr7	731241	731251	15.0	+	chr7	731256	731266	2.0	-	731253	17.0	15
chr7	853576	853586	15.0	+	chr7	853600	853610	17.0	-	853593	32.0	24
chr7	918707	918717	15.0	+	chr7	918721	918731	2.0	-	918719	17.0	14
chr7	932028	932038	15.0	+	chr7	932064	932074	17.0	-	932051	32.0	36
chr7	965785	965795	15.0	+	chr7	965877	965887	2.0	-	965836	17.0	92
chr7	1061794	1061804	15.0	+	chr7	1061802	1061812	5.0	-	1061803	20.0	8
chr7	200284	200294	14.0	+	chr7	200296	200306	9.0	-	200295	23.0	12
chr7	209069	209079	14.0	+	chr7	209086	209096	5.0	-	209082	19.0	17
chr7	397933	397943	14.0	+	chr7	398000	398010	8.0	-	397971	22.0	67
chr7	511272	511282	14.0	+	chr7	511283	511293	9.0	-	511282	23.0	11
chr7	640449	640459	14.0	+	chr7	640466	640476	11.0	-	640462	25.0	17
chr7	770383	770393	14.0	+	chr7	770391	770401	10.0	-	770392	24.0	8
chr7	1022670	1022680	14.0	+	chr7	1022697	1022707	2.0	-	1022688	16.0	27
chr7	1061875	1061885	14.0	+	chr7	1061956	1061966	2.0	-	1061920	16.0	81
chr7	1084245	1084255	14.0	+	chr7	1084326	1084336	71.0	-	1084290	85.0	81
chr7	512925	512935	13.0	+	chr7	512948	512958	4.0	-	512941	17.0	23
chr7	689854	689864	13.0	+	chr7	689884	689894	29.0	-	689874	42.0	30
chr7	53913	53923	12.0	+	chr7	53966	53976	2.0	-	53944	14.0	53
chr7	92372	92382	12.0	+	chr7	92392	92402	14.0	-	92387	26.0	20
chr7	94513	94523	12.0	+	chr7	94521	94531	5.0	-	94522	17.0	8
chr7	141323	141333	12.0	+	chr7	141327	141337	17.0	-	141330	29.0	4
chr7	144275	144285	12.0	+	chr7	144285	144295	7.0	-	144285	19.0	10
chr7	154290	154300	12.0	+	chr7	154390	154400	7.0	-	154345	19.0	100
chr7	271447	271457	12.0	+	chr7	271463	271473	8.0	-	271460	20.0	16
chr7	310774	310784	12.0	+	chr7	310791	310801	7.0	-	310787	19.0	17
chr7	323353	323363	12.0	+	chr7	323396	323406	6.0	-	323379	18.0	43
chr7	373007	373017	12.0	+	chr7	373035	373045	8.0	-	373026	20.0	28
chr7	394040	394050	12.0	+	chr7	394076	394086	3.0	-	394063	15.0	36
chr7	397825	397835	12.0	+	chr7	397862	397872	5.0	-	397848	17.0	37
chr7	480512	480522	12.0	+	chr7	480513	480523	5.0	-	480517	17.0	1
chr7	513901	513911	12.0	+	chr7	513940	513950	15.0	-	513925	27.0	39
chr7	601448	601458	12.0	+	chr7	601449	601459	10.0	-	601453	22.0	1
chr7	648343	648353	12.0	+	chr7	648410	648420	4.0	-	648381	16.0	67
chr7	770494	770504	12.0	+	chr7	770548	770558	5.0	-	770526	17.0	54
chr7	866329	866339	12.0	+	chr7	866380	866390	5.0	-	866359	17.0	51
chr7	884288	884298	12.0	+	chr7	884351	884361	14.0	-	884324	26.0	63
chr7	4602	4612	11.0	+	chr7	4701	4711	2.0	-	4656	13.0	99
chr7	158774	158784	11.0	+	chr7	158839	158849	3.0	-	158811	14.0	65
chr7	200012	200022	11.0	+	chr7	200058	200068	2.0	-	200040	13.0	46
chr7	284210	284220	11.0	+	chr7	284254	284264	32.0	-	284237	43.0	44
chr7	396923	396933	11.0	+	chr7	396983	396993	11.0	-	396958	22.0	60
chr7	596320	596330	11.0	+	chr7	596320	596330	3.0	-	596325	14.0	0
chr7	649151	649161	11.0	+	chr7	649151	649161	2.0	-	649156	13.0	0
chr7	784498	784508	11.0	+	chr7	784515	784525	2.0	-	784511	13.0	17
chr7	974639	974649	11.0	+	chr7	974653	974663	29.0	-	974651	40.0	14
chr7	1051878	1051888	11.0	+	chr7	1051935	1051945	2.0	-	1051911	13.0	57
chr7	23212	23222	10.0	+	chr7	23243	23253	2.0	-	23232	12.0	31
chr7	115724	115734	10.0	+	chr7	115752	115762	2.0	-	115743	12.0	28
chr7	120009	120019	10.0	+	chr7	120106	120116	6.0	-	120062	16.0	97
chr7	417434	417444	10.0	+	chr7	417442	417452	5.0	-	417443	15.0	8
chr7	485338	485348	10.0	+	chr7	485346	485356	33.0	-	485347	43.0	8
chr7	511457	511467	10.0	+	chr7	511518	511528	6.0	-	511492	16.0	61
chr7	547405	547415	10.0	+	chr7	547434	547444	16.0	-	547424	26.0	29
chr7	591629	591639	10.0	+	chr7	591633	591643	4.0	-	591636	14.0	4
chr7	596447	596457	10.0	+	chr7	596472	596482	2.0	-	596464	12.0	25
chr7	641912	641922	10.0	+	chr7	641931	641941	2.0	-	641926	12.0	19
chr7	750856	750866	10.0	+	chr7	750876	750886	2.0	-	750871	12.0	20
chr7	756579	756589	10.0	+	chr7	756594	756604	41.0	-	756591	51.0	15
chr7	756665	756675	10.0	+	chr7	756673	756683	20.0	-	756674	30.0	8
chr7	843803	843813	10.0	+	chr7	843817	843827	19.0	-	843815	29.0	14
chr7	882575	882585	10.0	+	chr7	882622	882632	5.0	-	882603	15.0	47
chr7	883744	883754	10.0	+	chr7	883789	883799	2.0	-	883771	12.0	45
chr7	897316	897326	10.0	+	chr7	897325	897335	4.0	-	897325	14.0	9
chr7	953793	953803	10.0	+	chr7	953813	953823	4.0	-	953808	14.0	20
chr7	36699	36709	9.0	+	chr7	36722	36732	7.0	-	36715	16.0	23
chr7	53652	53662	9.0	+	chr7	53663	53673	5.0	-	53662	14.0	11
chr7	200252	200262	9.0	+	chr7	200281	200291	8.0	-	200271	17.0	29
chr7	271793	271803	9.0	+	chr7	271823	271833	11.0	-	271813	20.0	30
chr7	278774	278784	9.0	+	chr7	278813	278823	8.0	-	278798	17.0	39
chr7	310692	310702	9.0	+	chr7	310700	310710	12.0	-	310701	21.0	8
chr7	321600	321610	9.0	+	chr7	321618	321628	9.0	-	321614	18.0	18
chr7	416919	416929	9.0	+	chr7	417002	417012	4.0	-	416965	13.0	83
chr7	481195	481205	9.0	+	chr7	481230	481240	4.0	-	481217	13.0	35
chr7	513002	513012	9.0	+	chr7	513018	513028	43.0	-	513015	52.0	16
chr7	526039	526049	9.0	+	chr7	526122	526132	5.0	-	526085	14.0	83
chr7	756991	757001	9.0	+	chr7	757015	757025	8.0	-	757008	17.0	24
chr7	786985	786995	9.0	+	chr7	787011	787021	21.0	-	787003	30.0	26
chr7	843656	843666	9.0	+	chr7	843667	843677	15.0	-	843666	24.0	11
chr7	882918	882928	9.0	+	chr7	882918	882928	4.0	-	882923	13.0	0
chr7	892304	892314	9.0	+	chr7	892330	892340	10.0	-	892322	19.0	26
chr7	897390	897400	9.0	+	chr7	897424	897434	7.0	-	897412	16.0	34
chr7	909862	909872	9.0	+	chr7	909940	909950	9.0	-	909906	18.0	78
chr7	953277	953287	9.0	+	chr7	953308	953318	2.0	-	953297	11.0	31
chr7	953775	953785	9.0	+	chr7	953794	953804	29.0	-	953789	38.0	19
chr7	80591	80601	8.0	+	chr7	80633	80643	6.0	-	80617	14.0	42
chr7	87289	87299	8.0	+	chr7	87343	87353	16.0	-	87321	24.0	54
chr7	267399	267409	8.0	+	chr7	267476	267486	5.0	-	267442	13.0	77
chr7	271813	271823	8.0	+	chr7	271871	271881	3.0	-	271847	11.0	58
chr7	284467	284477	8.0	+	chr7	284485	284495	2.0	-	284481	10.0	18
chr7	301558	301568	8.0	+	chr7	301564	301574	7.0	-	301566	15.0	6
chr7	346187	346197	8.0	+	chr7	346213	346223	8.0	-	346205	16.0	26
chr7	350887	350897	8.0	+	chr7	350986	350996	13.0	-	350941	21.0	99
chr7	409225	409235	8.0	+	chr7	409322	409332	9.0	-	409278	17.0	97
chr7	512668	512678	8.0	+	chr7	512750	512760	10.0	-	512714	18.0	82
chr7	555975	555985	8.0	+	chr7	556018	556028	8.0	-	556001	16.0	43
chr7	591710	591720	8.0	+	chr7	591721	591731	9.0	-	591720	17.0	11
chr7	591842	591852	8.0	+	chr7	591914	591924	4.0	-	591883	12.0	72
chr7	625591	625601	8.0	+	chr7	625616	625626	4.0	-	625608	12.0	25
chr7	34529	34539	7.0	+	chr7	34547	34557	4.0	-	34543	11.0	18
chr7	284329	284339	7.0	+	chr7	284368	284378	2.0	-	284353	9.0	39
chr7	284365	284375	7.0	+	chr7	284411	284421	6.0	-	284393	13.0	46
chr7	396499	396509	7.0	+	chr7	396528	396538	6.0	-	396518	13.0	29
chr7	434004	434014	7.0	+	chr7	434023	434033	9.0	-	434018	16.0	19
chr7	434016	434026	7.0	+	chr7	434093	434103	5.0	-	434059	12.0	77
chr7	510574	510584	7.0	+	chr7	510658	510668	21.0	-	510621	28.0	84
chr7	547423	547433	7.0	+	chr7	547509	547519	5.0	-	547471	12.0	86
chr7	560179	560189	7.0	+	chr7	560258	560268	7.0	-	560223	14.0	79
chr7	668617	668627	7.0	+	chr7	668654	668664	3.0	-	668640	10.0	37
chr7	756492	756502	7.0	+	chr7	756572	756582	4.0	-	756537	11.0	80
chr7	889536	889546	7.0	+	chr7	889568	889578	10.0	-	889557	17.0	32
chr7	897366	897376	7.0	+	chr7	897394	897404	3.0	-	897385	10.0	28
chr7	962168	962178	7.0	+	chr7	962178	962188	18.0	-	962178	25.0	10
chr7	1070132	1070142	7.0	+	chr7	1070166	1070176	3.0	-	1070154	10.0	34
chr7	1072094	1072104	7.0	+	chr7	1072191	1072201	7.0	-	1072147	14.0	97
chr7	34797	34807	6.0	+	chr7	34840	34850	4.0	-	34823	10.0	43
chr7	36734	36744	6.0	+	chr7	36750	36760	13.0	-	36747	19.0	16
chr7	73921	73931	6.0	+	chr7	74013	74023	4.0	-	73972	10.0	92
chr7	76788	76798	6.0	+	chr7	76863	76873	4.0	-	76830	10.0	75
chr7	78816	78826	6.0	+	chr7	78895	78905	2.0	-	78860	8.0	79
chr7	95215	95225	6.0	+	chr7	95305	95315	3.0	-	95265	9.0	90
chr7	123358	123368	6.0	+	chr7	123361	123371	11.0	-	123364	17.0	3
chr7	129369	129379	6.0	+	chr7	129385	129395	59.0	-	129382	65.0	16
chr7	157745	157755	6.0	+	chr7	157787	157797	10.0	-	157771	16.0	42
chr7	345861	345871	6.0	+	chr7	345939	345949	3.0	-	345905	9.0	78
chr7	346045	346055	6.0	+	chr7	346137	346147	10.0	-	346096	16.0	92
chr7	382872	382882	6.0	+	chr7	382904	382914	3.0	-	382893	9.0	32
chr7	640568	640578	6.0	+	chr7	640581	640591	21.0	-	640579	27.0	13
chr7	654062	654072	6.0	+	chr7	654104	654114	5.0	-	654088	11.0	42
chr7	701067	701077	6.0	+	chr7	701152	701162	3.0	-	701114	9.0	85
chr7	800353	800363	6.0	+	chr7	800421	800431	2.0	-	800392	8.0	68
chr7	853745	853755	6.0	+	chr7	853757	853767	4.0	-	853756	10.0	12
chr7	888610	888620	6.0	+	chr7	888629	888639	22.0	-	888624	28.0	19
chr7	905347	905357	6.0	+	chr7	905426	905436	4.0	-	905391	10.0	79
chr7	920435	920445	6.0	+	chr7	920452	920462	2.0	-	920448	8.0	17
chr7	953734	953744	6.0	+	chr7	953768	953778	3.0	-	953756	9.0	34
chr7	1022442	1022452	6.0	+	chr7	1022451	1022461	5.0	-	1022451	11.0	9
chr7	1070207	1070217	6.0	+	chr7	1070275	1070285	4.0	-	1070246	10.0	68
chr7	41233	41243	5.0	+	chr7	41290	41300	13.0	-	41266	18.0	57
chr7	41279	41289	5.0	+	chr7	41313	41323	21.0	-	41301	26.0	34
chr7	76613	76623	5.0	+	chr7	76629	76639	2.0	-	76626	7.0	16
chr7	115802	115812	5.0	+	chr7	115876	115886	6.0	-	115844	11.0	74
chr7	124570	124580	5.0	+	chr7	124570	124580	5.0	-	124575	10.0	0
chr7	149300	149310	5.0	+	chr7	149336	149346	7.0	-	149323	12.0	36
chr7	151309	151319	5.0	+	chr7	151344	151354	6.0	-	151331	11.0	35
chr7	191062	191072	5.0	+	chr7	191066	191076	13.0	-	191069	18.0	4
chr7	278521	278531	5.0	+	chr7	278563	278573	4.0	-	278547	9.0	42
chr7	284239	284249	5.0	+	chr7	284334	284344	20.0	-	284291	25.0	95
chr7	291392	291402	5.0	+	chr7	291403	291413	10.0	-	291402	15.0	11
chr7	331427	331437	5.0	+	chr7	331473	331483	2.0	-	331455	7.0	46
chr7	345654	345664	5.0	+	chr7	345665	345675	11.0	-	345664	16.0	11
chr7	345740	345750	5.0	+	chr7	345774	345784	5.0	-	345762	10.0	34
chr7	375149	375159	5.0	+	chr7	375198	375208	4.0	-	375178	9.0	49
chr7	470909	470919	5.0	+	chr7	470918	470928	7.0	-	470918	12.0	9
chr7	489292	489302	5.0	+	chr7	489296	489306	26.0	-	489299	31.0	4
chr7	511811	511821	5.0	+	chr7	511893	511903	3.0	-	511857	8.0	82
chr7	516435	516445	5.0	+	chr7	516487	516497	2.0	-	516466	7.0	52
chr7	625551	625561	5.0	+	chr7	625578	625588	14.0	-	625569	19.0	27
chr7	676698	676708	5.0	+	chr7	676797	676807	5.0	-	676752	10.0	99
chr7	676846	676856	5.0	+	chr7	676879	676889	7.0	-	676867	12.0	33
chr7	720155	720165	5.0	+	chr7	720190	720200	9.0	-	720177	14.0	35
chr7	754022	754032	5.0	+	chr7	754035	754045	13.0	-	754033	18.0	13
chr7	757429	757439	5.0	+	chr7	757434	757444	7.0	-	757436	12.0	5
chr7	761052	761062	5.0	+	chr7	761084	761094	11.0	-	761073	16.0	32
chr7	866186	866196	5.0	+	chr7	866210	866220	12.0	-	866203	17.0	24
chr7	867908	867918	5.0	+	chr7	868006	868016	6.0	-	867962	11.0	98
chr7	884372	884382	5.0	+	chr7	884419	884429	3.0	-	884400	8.0	47
chr7	889507	889517	5.0	+	chr7	889553	889563	11.0	-	889535	16.0	46
chr7	893368	893378	5.0	+	chr7	893405	893415	3.0	-	893391	8.0	37
chr7	937016	937026	5.0	+	chr7	937037	937047	3.0	-	937031	8.0	21
chr7	49278	49288	4.0	+	chr7	49309	49319	11.0	-	49298	15.0	31
