chrom	strand	start	end	value
chr7	+	77329	77339	7.0
chr7	+	115725	115735	7.0
chr7	+	129475	129485	7.0
chr7	+	145032	145042	7.0
chr7	+	161435	161445	7.0
chr7	+	166714	166724	7.0
chr7	+	190292	190302	7.0
chr7	+	206738	206748	7.0
chr7	+	220617	220627	7.0
chr7	+	226407	226417	7.0
chr7	+	232284	232294	7.0
chr7	+	245189	245199	7.0
chr7	+	251677	251687	7.0
chr7	+	268969	268979	7.0
chr7	+	270004	270014	7.0
chr7	+	270578	270588	7.0
chr7	+	276512	276522	7.0
chr7	+	328554	328564	7.0
chr7	+	336517	336527	7.0
chr7	+	344484	344494	7.0
chr7	+	376885	376895	7.0
chr7	+	395573	395583	7.0
chr7	+	425122	425132	7.0
chr7	+	458218	458228	7.0
chr7	+	460008	460018	7.0
chr7	+	596402	596412	7.0
chr7	+	610053	610063	7.0
chr7	+	660936	660946	7.0
chr7	+	661721	661731	7.0
chr7	+	673732	673742	7.0
chr7	+	681183	681193	7.0
chr7	+	684395	684405	7.0
chr7	+	698614	698624	7.0
chr7	+	702165	702175	7.0
chr7	+	703636	703646	7.0
chr7	+	706723	706733	7.0
chr7	+	761531	761541	7.0
chr7	+	763043	763053	7.0
chr7	+	787543	787553	7.0
chr7	+	826780	826790	7.0
chr7	+	849975	849985	7.0
chr7	+	854543	854553	7.0
chr7	+	916275	916285	7.0
chr7	+	948016	948026	7.0
chr7	+	953358	953368	7.0
chr7	+	956929	956939	7.0
chr7	+	965806	965816	7.0
chr7	+	971563	971573	7.0
chr7	+	1038086	1038096	7.0
chr7	+	1042521	1042531	7.0
chr7	+	1063806	1063816	7.0
chr7	+	9353	9363	6.0
chr7	+	15410	15420	6.0
chr7	+	15657	15667	6.0
chr7	+	49621	49631	6.0
chr7	+	57030	57040	6.0
chr7	+	63231	63241	6.0
chr7	+	68731	68741	6.0
chr7	+	73510	73520	6.0
chr7	+	91785	91795	6.0
chr7	+	92406	92416	6.0
chr7	+	92472	92482	6.0
chr7	+	92937	92947	6.0
chr7	+	103901	103911	6.0
chr7	+	109475	109485	6.0
chr7	+	141542	141552	6.0
chr7	+	161206	161216	6.0
chr7	+	175873	175883	6.0
chr7	+	184902	184912	6.0
chr7	+	198121	198131	6.0
chr7	+	198347	198357	6.0
chr7	+	206664	206674	6.0
chr7	+	206941	206951	6.0
chr7	+	256399	256409	6.0
chr7	+	262130	262140	6.0
chr7	+	268014	268024	6.0
chr7	+	276669	276679	6.0
chr7	+	290712	290722	6.0
chr7	+	305574	305584	6.0
chr7	+	342414	342424	6.0
chr7	+	355284	355294	6.0
chr7	+	378277	378287	6.0
chr7	+	378532	378542	6.0
chr7	+	385274	385284	6.0
chr7	+	394436	394446	6.0
chr7	+	397981	397991	6.0
chr7	+	420201	420211	6.0
chr7	+	426984	426994	6.0
chr7	+	428694	428704	6.0
chr7	+	438580	438590	6.0
chr7	+	445844	445854	6.0
chr7	+	458846	458856	6.0
chr7	+	473022	473032	6.0
chr7	+	476288	476298	6.0
chr7	+	499930	499940	6.0
chr7	+	500361	500371	6.0
chr7	+	500499	500509	6.0
chr7	+	501117	501127	6.0
chr7	+	501927	501937	6.0
chr7	+	513057	513067	6.0
chr7	+	513230	513240	6.0
chr7	+	513966	513976	6.0
chr7	+	578115	578125	6.0
chr7	+	595328	595338	6.0
chr7	+	606121	606131	6.0
chr7	+	640660	640670	6.0
chr7	+	646049	646059	6.0
chr7	+	662487	662497	6.0
chr7	+	693645	693655	6.0
chr7	+	757616	757626	6.0
chr7	+	770644	770654	6.0
chr7	+	773599	773609	6.0
chr7	+	791419	791429	6.0
chr7	+	799008	799018	6.0
chr7	+	802417	802427	6.0
chr7	+	842948	842958	6.0
chr7	+	894702	894712	6.0
chr7	+	897758	897768	6.0
chr7	+	904036	904046	6.0
chr7	+	945375	945385	6.0
chr7	+	963316	963326	6.0
chr7	+	974907	974917	6.0
chr7	+	978994	979004	6.0
chr7	+	982413	982423	6.0
chr7	+	1056698	1056708	6.0
chr7	+	1059315	1059325	6.0
chr7	+	1061687	1061697	6.0
chr7	+	1062155	1062165	6.0
chr7	+	1072137	1072147	6.0
chr7	+	4931	4941	5.0
chr7	+	12512	12522	5.0
chr7	+	21004	21014	5.0
chr7	+	22743	22753	5.0
chr7	+	26276	26286	5.0
chr7	+	27672	27682	5.0
chr7	+	38595	38605	5.0
chr7	+	53329	53339	5.0
chr7	+	55200	55210	5.0
chr7	+	57380	57390	5.0
chr7	+	59430	59440	5.0
chr7	+	88909	88919	5.0
chr7	+	89192	89202	5.0
chr7	+	92447	92457	5.0
chr7	+	95993	96003	5.0
chr7	+	99104	99114	5.0
chr7	+	101417	101427	5.0
chr7	+	106334	106344	5.0
chr7	+	115828	115838	5.0
chr7	+	123392	123402	5.0
chr7	+	125234	125244	5.0
chr7	+	138502	138512	5.0
chr7	+	143807	143817	5.0
chr7	+	157328	157338	5.0
chr7	+	165379	165389	5.0
chr7	+	165924	165934	5.0
chr7	+	170170	170180	5.0
chr7	+	180989	180999	5.0
chr7	+	181124	181134	5.0
chr7	+	182676	182686	5.0
chr7	+	186492	186502	5.0
chr7	+	186647	186657	5.0
chr7	+	191845	191855	5.0
chr7	+	196681	196691	5.0
chr7	+	200203	200213	5.0
chr7	+	211752	211762	5.0
chr7	+	220633	220643	5.0
chr7	+	226882	226892	5.0
chr7	+	233678	233688	5.0
chr7	+	236271	236281	5.0
chr7	+	237686	237696	5.0
chr7	+	249744	249754	5.0
chr7	+	273801	273811	5.0
chr7	+	275638	275648	5.0
chr7	+	285842	285852	5.0
chr7	+	287158	287168	5.0
chr7	+	293681	293691	5.0
chr7	+	295425	295435	5.0
chr7	+	299157	299167	5.0
chr7	+	306741	306751	5.0
chr7	+	310064	310074	5.0
chr7	+	322575	322585	5.0
chr7	+	333070	333080	5.0
chr7	+	339880	339890	5.0
chr7	+	344902	344912	5.0
chr7	+	346977	346987	5.0
chr7	+	361411	361421	5.0
chr7	+	368290	368300	5.0
chr7	+	369998	370008	5.0
chr7	+	378773	378783	5.0
chr7	+	382896	382906	5.0
chr7	+	391083	391093	5.0
chr7	+	396469	396479	5.0
chr7	+	398764	398774	5.0
chr7	+	405443	405453	5.0
chr7	+	407002	407012	5.0
chr7	+	425347	425357	5.0
chr7	+	441770	441780	5.0
chr7	+	455849	455859	5.0
chr7	+	459223	459233	5.0
chr7	+	482067	482077	5.0
chr7	+	484011	484021	5.0
chr7	+	490827	490837	5.0
chr7	+	494469	494479	5.0
chr7	+	500241	500251	5.0
chr7	+	510650	510660	5.0
chr7	+	512038	512048	5.0
chr7	+	512198	512208	5.0
chr7	+	515106	515116	5.0
chr7	+	522001	522011	5.0
chr7	+	524378	524388	5.0
chr7	+	532804	532814	5.0
chr7	+	556127	556137	5.0
chr7	+	559818	559828	5.0
chr7	+	559854	559864	5.0
chr7	+	576185	576195	5.0
chr7	+	587080	587090	5.0
chr7	+	592753	592763	5.0
chr7	+	593007	593017	5.0
chr7	+	602232	602242	5.0
chr7	+	605778	605788	5.0
chr7	+	610028	610038	5.0
chr7	+	614790	614800	5.0
chr7	+	641814	641824	5.0
chr7	+	642342	642352	5.0
chr7	+	666250	666260	5.0
chr7	+	671375	671385	5.0
chr7	+	675821	675831	5.0
chr7	+	696186	696196	5.0
chr7	+	696697	696707	5.0
chr7	+	718115	718125	5.0
chr7	+	718675	718685	5.0
chr7	+	720529	720539	5.0
chr7	+	725792	725802	5.0
chr7	+	725874	725884	5.0
chr7	+	739198	739208	5.0
chr7	+	743940	743950	5.0
chr7	+	747469	747479	5.0
chr7	+	753181	753191	5.0
chr7	+	771383	771393	5.0
chr7	+	775250	775260	5.0
chr7	+	776022	776032	5.0
chr7	+	776194	776204	5.0
chr7	+	778514	778524	5.0
chr7	+	781306	781316	5.0
chr7	+	781970	781980	5.0
chr7	+	796648	796658	5.0
chr7	+	826891	826901	5.0
chr7	+	844998	845008	5.0
chr7	+	851204	851214	5.0
chr7	+	853866	853876	5.0
chr7	+	855774	855784	5.0
chr7	+	856034	856044	5.0
chr7	+	876362	876372	5.0
chr7	+	876834	876844	5.0
chr7	+	879430	879440	5.0
chr7	+	881370	881380	5.0
chr7	+	886505	886515	5.0
chr7	+	888977	888987	5.0
chr7	+	889113	889123	5.0
chr7	+	891040	891050	5.0
chr7	+	891457	891467	5.0
chr7	+	891472	891482	5.0
chr7	+	901023	901033	5.0
chr7	+	903405	903415	5.0
chr7	+	903958	903968	5.0
chr7	+	912219	912229	5.0
chr7	+	914011	914021	5.0
chr7	+	941843	941853	5.0
chr7	+	944635	944645	5.0
chr7	+	962515	962525	5.0
chr7	+	968331	968341	5.0
chr7	+	977550	977560	5.0
chr7	+	978105	978115	5.0
chr7	+	980198	980208	5.0
chr7	+	1009414	1009424	5.0
chr7	+	1013445	1013455	5.0
chr7	+	1015362	1015372	5.0
chr7	+	1022882	1022892	5.0
chr7	+	1051116	1051126	5.0
chr7	+	1064504	1064514	5.0
chr7	+	1064643	1064653	5.0
chr7	+	2673	2683	4.0
chr7	+	10470	10480	4.0
chr7	+	24509	24519	4.0
chr7	+	29044	29054	4.0
chr7	+	30447	30457	4.0
chr7	+	36385	36395	4.0
chr7	+	39031	39041	4.0
chr7	+	39108	39118	4.0
chr7	+	41436	41446	4.0
chr7	+	42072	42082	4.0
chr7	+	42125	42135	4.0
chr7	+	44722	44732	4.0
chr7	+	49503	49513	4.0
chr7	+	50070	50080	4.0
chr7	+	51677	51687	4.0
chr7	+	52672	52682	4.0
chr7	+	55032	55042	4.0
chr7	+	67547	67557	4.0
chr7	+	75014	75024	4.0
chr7	+	75278	75288	4.0
chr7	+	81912	81922	4.0
chr7	+	82517	82527	4.0
chr7	+	84996	85006	4.0
chr7	+	85683	85693	4.0
chr7	+	86685	86695	4.0
chr7	+	88783	88793	4.0
chr7	+	91010	91020	4.0
chr7	+	92078	92088	4.0
chr7	+	92105	92115	4.0
chr7	+	92498	92508	4.0
chr7	+	95203	95213	4.0
chr7	+	100501	100511	4.0
chr7	+	103028	103038	4.0
chr7	+	104652	104662	4.0
chr7	+	106127	106137	4.0
chr7	+	108226	108236	4.0
chr7	+	118291	118301	4.0
chr7	+	119261	119271	4.0
chr7	+	119506	119516	4.0
chr7	+	125622	125632	4.0
chr7	+	136548	136558	4.0
chr7	+	137195	137205	4.0
chr7	+	137754	137764	4.0
chr7	+	140606	140616	4.0
chr7	+	141699	141709	4.0
chr7	+	151026	151036	4.0
chr7	+	151057	151067	4.0
chr7	+	152410	152420	4.0
chr7	+	154422	154432	4.0
chr7	+	157781	157791	4.0
chr7	+	158970	158980	4.0
chr7	+	161486	161496	4.0
chr7	+	172187	172197	4.0
chr7	+	186342	186352	4.0
chr7	+	190550	190560	4.0
chr7	+	198663	198673	4.0
chr7	+	201893	201903	4.0
chr7	+	202650	202660	4.0
chr7	+	203505	203515	4.0
chr7	+	214721	214731	4.0
chr7	+	215446	215456	4.0
chr7	+	215932	215942	4.0
chr7	+	220569	220579	4.0
chr7	+	225496	225506	4.0
chr7	+	228120	228130	4.0
chr7	+	230481	230491	4.0
chr7	+	233700	233710	4.0
chr7	+	246150	246160	4.0
chr7	+	246753	246763	4.0
chr7	+	247200	247210	4.0
chr7	+	251299	251309	4.0
chr7	+	254198	254208	4.0
chr7	+	261053	261063	4.0
chr7	+	262069	262079	4.0
chr7	+	264880	264890	4.0
chr7	+	271528	271538	4.0
chr7	+	272390	272400	4.0
chr7	+	278050	278060	4.0
chr7	+	280315	280325	4.0
chr7	+	280939	280949	4.0
chr7	+	282201	282211	4.0
chr7	+	283727	283737	4.0
chr7	+	292896	292906	4.0
chr7	+	295217	295227	4.0
chr7	+	306716	306726	4.0
chr7	+	307913	307923	4.0
chr7	+	310603	310613	4.0
chr7	+	311382	311392	4.0
chr7	+	312337	312347	4.0
chr7	+	316340	316350	4.0
chr7	+	317014	317024	4.0
chr7	+	334011	334021	4.0
chr7	+	343987	343997	4.0
chr7	+	345023	345033	4.0
chr7	+	345864	345874	4.0
chr7	+	345981	345991	4.0
chr7	+	355173	355183	4.0
chr7	+	359580	359590	4.0
chr7	+	368042	368052	4.0
chr7	+	370766	370776	4.0
chr7	+	374380	374390	4.0
chr7	+	374592	374602	4.0
chr7	+	376303	376313	4.0
chr7	+	377041	377051	4.0
chr7	+	405894	405904	4.0
chr7	+	407167	407177	4.0
chr7	+	409183	409193	4.0
chr7	+	412840	412850	4.0
chr7	+	413365	413375	4.0
chr7	+	414178	414188	4.0
chr7	+	426895	426905	4.0
chr7	+	440495	440505	4.0
chr7	+	444706	444716	4.0
chr7	+	448719	448729	4.0
chr7	+	449053	449063	4.0
chr7	+	455518	455528	4.0
chr7	+	459299	459309	4.0
chr7	+	463170	463180	4.0
chr7	+	480054	480064	4.0
chr7	+	481299	481309	4.0
chr7	+	481641	481651	4.0
chr7	+	482126	482136	4.0
chr7	+	484794	484804	4.0
chr7	+	493053	493063	4.0
chr7	+	494542	494552	4.0
chr7	+	497629	497639	4.0
chr7	+	499550	499560	4.0
chr7	+	499786	499796	4.0
chr7	+	502425	502435	4.0
chr7	+	509548	509558	4.0
chr7	+	512160	512170	4.0
chr7	+	514860	514870	4.0
chr7	+	519452	519462	4.0
chr7	+	520305	520315	4.0
chr7	+	521954	521964	4.0
chr7	+	522491	522501	4.0
chr7	+	524145	524155	4.0
chr7	+	549755	549765	4.0
chr7	+	551939	551949	4.0
chr7	+	552454	552464	4.0
chr7	+	560028	560038	4.0
chr7	+	560236	560246	4.0
chr7	+	560988	560998	4.0
chr7	+	574309	574319	4.0
chr7	+	577627	577637	4.0
chr7	+	579458	579468	4.0
chr7	+	580865	580875	4.0
chr7	+	581470	581480	4.0
chr7	+	584375	584385	4.0
chr7	+	586716	586726	4.0
chr7	+	588814	588824	4.0
chr7	+	598059	598069	4.0
chr7	+	599652	599662	4.0
chr7	+	599899	599909	4.0
chr7	+	600426	600436	4.0
chr7	+	609283	609293	4.0
chr7	+	612845	612855	4.0
chr7	+	616882	616892	4.0
chr7	+	617697	617707	4.0
chr7	+	618756	618766	4.0
chr7	+	619611	619621	4.0
chr7	+	630437	630447	4.0
chr7	+	638137	638147	4.0
chr7	+	640128	640138	4.0
chr7	+	642182	642192	4.0
chr7	+	655291	655301	4.0
chr7	+	655555	655565	4.0
chr7	+	674068	674078	4.0
chr7	+	680915	680925	4.0
chr7	+	681429	681439	4.0
chr7	+	681859	681869	4.0
chr7	+	684353	684363	4.0
chr7	+	684373	684383	4.0
chr7	+	688818	688828	4.0
chr7	+	692843	692853	4.0
chr7	+	693667	693677	4.0
chr7	+	694707	694717	4.0
chr7	+	702221	702231	4.0
chr7	+	702948	702958	4.0
chr7	+	707183	707193	4.0
chr7	+	712749	712759	4.0
chr7	+	713854	713864	4.0
chr7	+	715645	715655	4.0
chr7	+	722073	722083	4.0
chr7	+	726666	726676	4.0
chr7	+	729166	729176	4.0
chr7	+	732740	732750	4.0
chr7	+	738165	738175	4.0
chr7	+	740961	740971	4.0
chr7	+	743262	743272	4.0
chr7	+	746209	746219	4.0
chr7	+	747272	747282	4.0
chr7	+	747455	747465	4.0
chr7	+	748750	748760	4.0
chr7	+	751206	751216	4.0
chr7	+	753864	753874	4.0
chr7	+	755359	755369	4.0
chr7	+	757633	757643	4.0
chr7	+	759562	759572	4.0
chr7	+	765332	765342	4.0
chr7	+	768810	768820	4.0
chr7	+	770500	770510	4.0
chr7	+	775138	775148	4.0
chr7	+	775851	775861	4.0
chr7	+	777141	777151	4.0
chr7	+	781260	781270	4.0
chr7	+	781709	781719	4.0
chr7	+	782149	782159	4.0
chr7	+	782442	782452	4.0
chr7	+	783589	783599	4.0
chr7	+	785660	785670	4.0
chr7	+	786326	786336	4.0
chr7	+	786734	786744	4.0
chr7	+	787821	787831	4.0
chr7	+	790145	790155	4.0
chr7	+	790984	790994	4.0
chr7	+	795257	795267	4.0
chr7	+	798786	798796	4.0
chr7	+	798830	798840	4.0
chr7	+	805978	805988	4.0
chr7	+	808999	809009	4.0
chr7	+	826846	826856	4.0
chr7	+	827953	827963	4.0
chr7	+	835543	835553	4.0
chr7	+	841412	841422	4.0
chr7	+	843367	843377	4.0
chr7	+	843484	843494	4.0
chr7	+	843546	843556	4.0
chr7	+	845620	845630	4.0
chr7	+	847589	847599	4.0
chr7	+	848708	848718	4.0
chr7	+	855290	855300	4.0
chr7	+	855305	855315	4.0
chr7	+	855717	855727	4.0
chr7	+	856950	856960	4.0
chr7	+	857669	857679	4.0
chr7	+	862096	862106	4.0
chr7	+	866097	866107	4.0
chr7	+	880745	880755	4.0
chr7	+	884053	884063	4.0
chr7	+	893769	893779	4.0
chr7	+	896208	896218	4.0
chr7	+	901595	901605	4.0
chr7	+	901808	901818	4.0
chr7	+	902210	902220	4.0
chr7	+	910449	910459	4.0
chr7	+	916020	916030	4.0
chr7	+	916093	916103	4.0
chr7	+	933043	933053	4.0
chr7	+	936297	936307	4.0
chr7	+	946556	946566	4.0
chr7	+	951169	951179	4.0
chr7	+	951384	951394	4.0
chr7	+	953948	953958	4.0
chr7	+	956468	956478	4.0
chr7	+	963393	963403	4.0
chr7	+	963559	963569	4.0
chr7	+	967765	967775	4.0
chr7	+	968489	968499	4.0
chr7	+	969751	969761	4.0
chr7	+	972337	972347	4.0
chr7	+	973255	973265	4.0
chr7	+	977130	977140	4.0
chr7	+	977179	977189	4.0
chr7	+	978688	978698	4.0
chr7	+	980635	980645	4.0
chr7	+	983795	983805	4.0
chr7	+	985519	985529	4.0
chr7	+	994791	994801	4.0
chr7	+	995182	995192	4.0
chr7	+	995838	995848	4.0
chr7	+	997373	997383	4.0
chr7	+	1006661	1006671	4.0
chr7	+	1008151	1008161	4.0
chr7	+	1008939	1008949	4.0
chr7	+	1011163	1011173	4.0
chr7	+	1015588	1015598	4.0
chr7	+	1020003	1020013	4.0
chr7	+	1033792	1033802	4.0
chr7	+	1042652	1042662	4.0
chr7	+	1049850	1049860	4.0
chr7	+	1052839	1052849	4.0
chr7	+	1061409	1061419	4.0
chr7	+	1062104	1062114	4.0
chr7	+	1065710	1065720	4.0
chr7	+	1069214	1069224	4.0
chr7	+	1070334	1070344	4.0
chr7	+	1074304	1074314	4.0
chr7	+	8031	8041	3.0
chr7	+	14208	14218	3.0
chr7	+	15725	15735	3.0
chr7	+	17489	17499	3.0
chr7	+	20720	20730	3.0
chr7	+	22373	22383	3.0
chr7	+	22541	22551	3.0
chr7	+	22564	22574	3.0
chr7	+	22760	22770	3.0
chr7	+	23211	23221	3.0
chr7	+	25743	25753	3.0
chr7	+	27901	27911	3.0
chr7	+	31454	31464	3.0
chr7	+	32791	32801	3.0
chr7	+	33816	33826	3.0
chr7	+	35806	35816	3.0
chr7	+	38896	38906	3.0
chr7	+	41773	41783	3.0
chr7	+	41798	41808	3.0
chr7	+	42194	42204	3.0
chr7	+	42715	42725	3.0
chr7	+	42729	42739	3.0
chr7	+	45562	45572	3.0
chr7	+	45913	45923	3.0
chr7	+	46995	47005	3.0
chr7	+	48767	48777	3.0
chr7	+	49064	49074	3.0
chr7	+	49581	49591	3.0
chr7	+	49667	49677	3.0
chr7	+	51528	51538	3.0
chr7	+	53223	53233	3.0
chr7	+	53572	53582	3.0
chr7	+	59045	59055	3.0
chr7	+	63118	63128	3.0
chr7	+	65546	65556	3.0
chr7	+	68560	68570	3.0
chr7	+	69230	69240	3.0
chr7	+	70878	70888	3.0
chr7	+	73917	73927	3.0
chr7	+	74668	74678	3.0
chr7	+	76753	76763	3.0
chr7	+	76999	77009	3.0
chr7	+	77301	77311	3.0
chr7	+	78381	78391	3.0
chr7	+	78753	78763	3.0
chr7	+	79329	79339	3.0
chr7	+	81171	81181	3.0
chr7	+	83592	83602	3.0
chr7	+	85054	85064	3.0
chr7	+	87395	87405	3.0
chr7	+	92149	92159	3.0
chr7	+	92157	92167	3.0
chr7	+	94016	94026	3.0
chr7	+	95549	95559	3.0
chr7	+	95615	95625	3.0
chr7	+	96193	96203	3.0
chr7	+	97700	97710	3.0
chr7	+	97788	97798	3.0
chr7	+	101678	101688	3.0
chr7	+	102043	102053	3.0
chr7	+	107774	107784	3.0
chr7	+	109090	109100	3.0
chr7	+	115846	115856	3.0
chr7	+	115983	115993	3.0
chr7	+	116384	116394	3.0
chr7	+	120263	120273	3.0
chr7	+	122210	122220	3.0
chr7	+	123580	123590	3.0
chr7	+	123673	123683	3.0
chr7	+	124064	124074	3.0
chr7	+	126278	126288	3.0
chr7	+	127730	127740	3.0
chr7	+	128468	128478	3.0
chr7	+	133108	133118	3.0
chr7	+	134996	135006	3.0
chr7	+	141098	141108	3.0
chr7	+	143161	143171	3.0
chr7	+	143904	143914	3.0
chr7	+	143921	143931	3.0
chr7	+	144182	144192	3.0
chr7	+	144595	144605	3.0
chr7	+	148270	148280	3.0
chr7	+	152606	152616	3.0
chr7	+	152855	152865	3.0
chr7	+	153123	153133	3.0
chr7	+	154999	155009	3.0
chr7	+	155023	155033	3.0
chr7	+	155677	155687	3.0
chr7	+	155841	155851	3.0
chr7	+	155978	155988	3.0
chr7	+	156217	156227	3.0
chr7	+	156263	156273	3.0
chr7	+	156343	156353	3.0
chr7	+	156362	156372	3.0
chr7	+	156508	156518	3.0
chr7	+	157445	157455	3.0
chr7	+	157795	157805	3.0
chr7	+	157892	157902	3.0
chr7	+	157919	157929	3.0
chr7	+	158354	158364	3.0
chr7	+	159178	159188	3.0
chr7	+	160969	160979	3.0
chr7	+	161007	161017	3.0
chr7	+	161533	161543	3.0
chr7	+	165835	165845	3.0
chr7	+	166831	166841	3.0
chr7	+	168136	168146	3.0
chr7	+	168423	168433	3.0
chr7	+	174823	174833	3.0
chr7	+	177598	177608	3.0
chr7	+	179167	179177	3.0
chr7	+	179241	179251	3.0
chr7	+	180744	180754	3.0
chr7	+	180959	180969	3.0
chr7	+	186083	186093	3.0
chr7	+	187068	187078	3.0
chr7	+	187783	187793	3.0
chr7	+	188712	188722	3.0
chr7	+	189023	189033	3.0
chr7	+	189306	189316	3.0
chr7	+	190019	190029	3.0
chr7	+	191082	191092	3.0
chr7	+	191629	191639	3.0
chr7	+	194437	194447	3.0
chr7	+	194734	194744	3.0
chr7	+	196220	196230	3.0
chr7	+	196652	196662	3.0
chr7	+	200595	200605	3.0
chr7	+	202831	202841	3.0
chr7	+	206022	206032	3.0
chr7	+	208290	208300	3.0
chr7	+	209574	209584	3.0
chr7	+	210200	210210	3.0
chr7	+	212388	212398	3.0
chr7	+	212480	212490	3.0
chr7	+	214124	214134	3.0
chr7	+	216247	216257	3.0
chr7	+	216581	216591	3.0
chr7	+	216639	216649	3.0
chr7	+	216702	216712	3.0
chr7	+	217173	217183	3.0
chr7	+	221753	221763	3.0
chr7	+	223857	223867	3.0
chr7	+	223888	223898	3.0
chr7	+	224503	224513	3.0
chr7	+	225152	225162	3.0
chr7	+	232905	232915	3.0
chr7	+	237964	237974	3.0
chr7	+	238099	238109	3.0
chr7	+	239916	239926	3.0
chr7	+	240140	240150	3.0
chr7	+	246122	246132	3.0
chr7	+	249218	249228	3.0
chr7	+	255626	255636	3.0
chr7	+	257573	257583	3.0
chr7	+	258151	258161	3.0
chr7	+	259149	259159	3.0
chr7	+	264471	264481	3.0
chr7	+	266356	266366	3.0
chr7	+	269932	269942	3.0
chr7	+	270066	270076	3.0
chr7	+	271089	271099	3.0
chr7	+	272778	272788	3.0
chr7	+	275942	275952	3.0
chr7	+	276691	276701	3.0
chr7	+	277280	277290	3.0
chr7	+	278266	278276	3.0
chr7	+	282893	282903	3.0
chr7	+	283270	283280	3.0
chr7	+	285047	285057	3.0
chr7	+	285744	285754	3.0
chr7	+	290665	290675	3.0
chr7	+	290682	290692	3.0
chr7	+	290788	290798	3.0
chr7	+	291106	291116	3.0
chr7	+	291556	291566	3.0
chr7	+	292678	292688	3.0
chr7	+	300304	300314	3.0
chr7	+	305283	305293	3.0
chr7	+	307604	307614	3.0
chr7	+	308516	308526	3.0
chr7	+	310691	310701	3.0
chr7	+	311571	311581	3.0
chr7	+	320752	320762	3.0
chr7	+	321537	321547	3.0
chr7	+	322046	322056	3.0
chr7	+	323602	323612	3.0
